epoch,loss,train_acc,val_acc,test_acc,lr,phase
165,0.5619122385978699,1.0,0.784,0.81,0.005,cooldown
166,0.6761209964752197,1.0,0.79,0.811,0.005,cooldown
167,0.8087875843048096,1.0,0.79,0.812,0.005,cooldown
168,0.5833550691604614,1.0,0.796,0.813,0.005,cooldown
169,0.5713576078414917,1.0,0.794,0.812,0.005,cooldown
170,0.6782678961753845,1.0,0.796,0.812,0.005,cooldown
171,0.7612771391868591,1.0,0.794,0.811,0.005,cooldown
172,0.6233025193214417,1.0,0.792,0.808,0.005,cooldown
173,0.631310224533081,1.0,0.786,0.808,0.005,cooldown
174,0.5073361992835999,1.0,0.784,0.805,0.005,cooldown
175,0.7640053629875183,0.9928571428571429,0.776,0.802,0.005,cooldown
176,0.6992194056510925,0.9928571428571429,0.772,0.798,0.005,cooldown
177,0.6164270043373108,0.9928571428571429,0.77,0.801,0.005,cooldown
178,0.5415129065513611,0.9928571428571429,0.77,0.794,0.005,cooldown
179,0.7461900115013123,0.9928571428571429,0.77,0.792,0.005,cooldown
180,0.6559996008872986,1.0,0.768,0.788,0.005,cooldown
181,0.6356046795845032,1.0,0.764,0.79,0.005,cooldown
182,0.5937075614929199,1.0,0.772,0.799,0.005,cooldown
183,0.6394718289375305,1.0,0.776,0.8,0.005,cooldown
184,0.50413978099823,1.0,0.776,0.799,0.005,cooldown
185,0.5760364532470703,1.0,0.78,0.8,0.005,cooldown
186,0.5351015329360962,1.0,0.782,0.799,0.005,cooldown
187,0.8501006364822388,1.0,0.78,0.798,0.005,cooldown
188,0.7982062101364136,1.0,0.784,0.799,0.005,cooldown
189,0.6025115251541138,1.0,0.786,0.803,0.005,cooldown
190,0.6824589967727661,1.0,0.788,0.804,0.005,cooldown
191,0.7007296681404114,1.0,0.786,0.806,0.005,cooldown
